ConfJournal_id,nom,chercheur_id,type,periodicite,lien
soca,SOCA,,Conference,,https://dblp.org/db/conf/soca/soca2015.html#OuadahBHN15
icitst,ICITST,,Conference,,https://dblp.org/db/conf/icitst/icitst2014.html#AmmarF14
icwit,ICWIT,,Conference,,https://dblp.org/db/conf/icwit/icwit2012.html#AmelF12
ciia,CIIA,,Conference,,https://dblp.org/db/conf/ciia/ciia2011.html#NachidaOF11
ic3k,KDIR,,Conference,,https://dblp.org/db/conf/ic3k/kdir2011.html#NachidaBN11
ir,Inf. Retr. J.,,Journal,,https://dblp.org/db/journals/ir/ir26.html#AlKhatibZSB23
comcom,Comput. Commun.,,Journal,,https://dblp.org/db/journals/comcom/comcom181.html#BoutibaKBCB22
globecom,GLOBECOM,,Conference,,https://dblp.org/db/conf/globecom/globecom2020.html#Si-MohammedKBCB20
cogsr,Cogn. Syst. Res.,,Journal,,https://dblp.org/db/journals/cogsr/cogsr56.html#MostefaiBT19
ijris,Int. J. Reason. based Intell. Syst.,,Journal,,https://dblp.org/db/journals/ijris/ijris11.html#ZerroukiSBBSB19
ipm,Inf. Process. Manag.,,Journal,,https://dblp.org/db/journals/ipm/ipm53.html#DahakBB17
ijet,Int. J. Emerg. Technol. Learn.,,Journal,,https://dblp.org/db/journals/ijet/ijet11.html#AddaBB16
ijst,Int. J. Speech Technol.,,Journal,,https://dblp.org/db/journals/ijst/ijst19.html#LoukamBL16
jaihc,J. Ambient Intell. Humaniz. Comput.,,Journal,,https://dblp.org/db/journals/jaihc/jaihc7.html#BoukhadraBB16
idc,IDC,,Conference,,https://dblp.org/db/conf/idc/idc2016.html#BoukhadraBB16
3pgcic,3PGCIC,,Conference,,https://dblp.org/db/conf/3pgcic/3pgcic2015.html#BoukhadraBB15
dcai,DCAI,,Conference,,https://dblp.org/db/conf/dcai/dcai2015.html#BoukhadraBB15
fnc,FNC/MobiSPC,,Conference,,https://dblp.org/db/conf/fnc/fnc2015.html#BoukhadraBB15
wanlp,ANLP@ACL,,Conference,,https://dblp.org/db/conf/wanlp/wanlp2015.html#ZaghouaniZB15
ijtem,Int. J. Technol. Educ. Mark.,,Journal,,https://dblp.org/db/journals/ijtem/ijtem4.html#BezzaBM14
ijwa,Int. J. Web Appl.,,Journal,,https://dblp.org/db/journals/ijwa/ijwa6.html#AddaB14
hpcc,HPCC/CSS/ICESS,,Conference,,https://dblp.org/db/conf/hpcc/hpcc2014.html#BoukhadraBB14
icsibo,ICSIBO,,Conference,,https://dblp.org/db/conf/icsibo/icsibo2014.html#AddaB14
nbis,NBiS,,Conference,,https://dblp.org/db/conf/nbis/nbis2014.html#BoukhadraBB14
icitst,ICITST,,Conference,,https://dblp.org/db/conf/icitst/icitst2013.html#BoukhadraBB13
icwl,ICWL Workshops,,Conference,,https://dblp.org/db/conf/icwl/icwl2013w.html#BousbiaGB13
icwit,ICWIT,,Conference,,https://dblp.org/db/conf/icwit/icwit2012.html#AdelKA12
ijlt,Int. J. Learn. Technol.,,Journal,,https://dblp.org/db/journals/ijlt/ijlt6.html#BousbiaLBR11
csedu,CSEDU (1),,Conference,,https://dblp.org/db/conf/csedu/csedu2011-1.html#BallaB11
umuai,User Model. User Adapt. Interact.,,Journal,,https://dblp.org/db/journals/umuai/umuai20.html#BousbiaRLB10
edm,EDM,,Conference,,https://dblp.org/db/conf/edm/edm2010.html#BousbiaLBR10
iajit,Int. Arab J. Inf. Technol.,,Journal,,https://dblp.org/db/journals/iajit/iajit6.html#Balla09
ciia,CIIA,,Conference,,https://dblp.org/db/conf/ciia/ciia2009.html#BoudaliBA09
icalt,ICALT,,Conference,,https://dblp.org/db/conf/icalt/icalt2009.html#BousbiaLRB09
iscc,ISCC,,Conference,,https://dblp.org/db/conf/iscc/iscc2009.html#BousbiaBR09
inforsid,INFORSID,,Conference,,https://dblp.org/db/conf/inforsid/inforsid2008.html#DahakBB08
its,Intelligent Tutoring Systems,,Conference,,https://dblp.org/db/conf/its/its2008.html#BousbiaLB08
springer,"Innovative Techniques in Instruction Technology, E-learning, E-assessment, and Education",,Conference,,https://dblp.org/db/series/springer/Iskander2008.html#BallaS08
aiccsa,AICCSA,,Conference,,https://dblp.org/db/conf/aiccsa/aiccsa2007.html#Balla07
awic,AWIC,,Conference,,https://dblp.org/db/conf/awic/awic2007.html#AmroucheABM07
dn,Document Numérique,,Journal,,https://dblp.org/db/journals/dn/dn7.html#BallaLL03
asc,Appl. Soft Comput.,,Journal,,https://dblp.org/db/journals/asc/asc144.html#LaidouiBT23
kes,KES,,Conference,,https://dblp.org/db/conf/kes/kes2023.html#BeldiB23
